game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
83,GreedyAi,2036,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
84,GreedyAi,1660,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
84,Dummy,427,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
85,ConnectClosestMinesAi,865,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
85,Dummy,397,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
86,Dummy,1172,0,2,2,Sierpinski-triangle.json,81,42,Age2,2.0
86,ConnectClosestMinesAi,865,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
87,GreedyAi,27,0,2,2,sample.json,12,8,Age1,1.0
87,Dummy,22,1,1,2,sample.json,12,8,Age2,2.0
88,GreedyAi,1774,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
88,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
89,Dummy,152,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
89,GreedyAi,1788,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
90,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
90,Dummy,7,1,1,2,sample.json,12,8,Age2,2.0
91,GreedyAi,1786,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
91,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
92,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
92,Dummy,27,1,1,2,sample.json,12,8,Age2,2.0
93,ConnectClosestMinesAi,2253,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
93,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
94,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
94,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
95,Dummy,855,0,2,2,Sierpinski-triangle.json,81,42,Age2,2.0
95,GreedyAi,725,1,1,2,Sierpinski-triangle.json,81,42,Age1,1.0
96,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
96,GreedyAi,1688,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
97,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
97,GreedyAi,2153,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
98,GreedyAi,1725,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
98,Dummy,6,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
99,ConnectClosestMinesAi,2253,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
99,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
100,ConnectClosestMinesAi,1653,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
100,Dummy,117,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
101,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
101,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
102,GreedyAi,22,0,2,2,sample.json,12,8,Age1,1.0
102,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
103,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
103,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
104,GreedyAi,8,0,2,2,sample.json,12,8,Age1,1.0
104,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
105,GreedyAi,1737,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
105,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
106,ConnectClosestMinesAi,1681,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
106,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
107,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
107,GreedyAi,2218,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
108,GreedyAi,25,0,2,2,sample.json,12,8,Age1,1.0
108,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
109,GreedyAi,25,0,2,2,sample.json,12,8,Age1,1.0
109,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
110,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
110,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
111,GreedyAi,30,0,2,2,sample.json,12,8,Age1,1.0
111,Dummy,0,1,1,2,sample.json,12,8,Age2,2.0
112,GreedyAi,1688,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
112,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
113,ConnectClosestMinesAi,1681,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
113,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
114,GreedyAi,2253,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
114,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
115,ConnectClosestMinesAi,2253,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
115,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
116,GreedyAi,1317,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
116,Dummy,101,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
117,GreedyAi,25,0,2,2,sample.json,12,8,Age1,1.0
117,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
118,GreedyAi,1737,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
118,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
119,GreedyAi,2153,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
119,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
